service_name,category,cost_display,how_to_cancel,cancellation_url,difficulty,tips,dark_pattern_warning
Netflix,entertainment,£10.99/month,"Log into your Netflix account, navigate to account settings, and select cancel membership.",https://www.netflix.com/cancelplan,easy,"Access continues until end of billing period. Can reactivate anytime.",
Spotify Premium,entertainment,£10.99/month,"Access your account settings on Spotify website and select cancel subscription option.",https://www.spotify.com/uk/account/subscription/,easy,"Account reverts to free tier immediately. Premium benefits end at billing period.",
Disney+,entertainment,£7.99/month,"Log into Disney+ account, go to account settings, and select cancel subscription.",https://www.disneyplus.com/account,easy,"Access continues until end of current billing period.",
Amazon Prime,other,£8.99/month,"Go to Your Account, select Prime Membership, and choose to end membership.",https://www.amazon.co.uk/mc,easy,"May receive pro-rated refund if cancelled before benefits used.",
Apple Music,entertainment,£10.99/month,"Cancel through iPhone/iPad Settings > [Your Name] > Subscriptions > Apple Music > Cancel, or via music.apple.com on web.",https://music.apple.com/,easy,"Must cancel 24 hours before renewal. Access continues until period ends.",
YouTube Premium,entertainment,£11.99/month,"Access youtube.com/paid_memberships and select deactivate membership.",https://www.youtube.com/paid_memberships,easy,"Benefits end immediately upon cancellation.",
NOW TV,entertainment,£9.99/month,"Log into NOW TV account and navigate to membership settings to cancel.",https://www.nowtv.com/,easy,"Cancel at least 24 hours before renewal date.","Exploits Sunk Cost Fallacy: Multiple screens emphasize content you've invested in watching to discourage cancellation."
Paramount+,entertainment,£6.99/month,"Access account settings on Paramount+ and select cancel subscription option.",https://www.paramountplus.com/,easy,"Access continues until end of billing period.",
Apple TV+,entertainment,£6.99/month,"Cancel via Settings > [Your Name] > Subscriptions on iOS device, or tv.apple.com on web.",https://tv.apple.com/,easy,"Cancel 24 hours before renewal. Continues until period ends.",
Discovery+,entertainment,£6.99/month,"Log into account settings and select cancel subscription option.",https://www.discoveryplus.com/,easy,"Subscription continues until end of billing period.",
Adobe Creative Cloud,software,£49.94/month,"Log into Adobe account and navigate to plan management to cancel. Annual plans incur early termination fees.",https://account.adobe.com/,hard,"Annual plan billed monthly has 50% early termination fee of remaining contract. Monthly plans less commonly offered at higher price.","Exploits Framing Effect: Annual commitment framed as monthly payment obscures 50% early termination penalty."
Microsoft 365,software,£5.99/month,"Access microsoft.com account services and select cancel subscription under Microsoft 365.",https://account.microsoft.com/services/,easy,"Cancellation takes effect at end of billing period.",
Grammarly Premium,software,£11.66/month,"Log into Grammarly account and access subscription settings to cancel.",https://www.grammarly.com/,easy,"Free version remains available after cancellation.",
Canva Pro,software,£10.99/month,"Access Canva account settings and select cancel subscription option.",https://www.canva.com/,easy,"Can downgrade to free version. Premium elements in designs will be locked.",
Dropbox Plus,software,£9.99/month,"Log into Dropbox account settings and navigate to subscription options to cancel.",https://www.dropbox.com/,easy,"Storage space reverts to free tier limits after period ends.",
Google One,software,£1.99/month,"Access Google One settings through one.google.com and select cancel membership.",https://one.google.com/,easy,"Storage quota reverts to free tier. Data remains but may be read-only if over limit.",
iCloud+,software,£0.99/month,"Cancel via Settings > [Your Name] > iCloud > Manage Storage > Change Storage Plan on iOS.",https://www.icloud.com/,easy,"Storage downgrades at end of period. Data preserved but may be read-only if over new limit.",
Audible,other,£7.99/month,"Access account via Audible website (not app) and select cancel membership in account details.",https://www.audible.co.uk/,medium,"Purchased audiobooks remain accessible after cancellation.","Exploits Default Effect: Easy app signup but website-only cancellation creates asymmetric friction (roach motel pattern)."
Sky TV,utilities,£26.00/month,"Contact Sky customer service by telephone to request cancellation.",https://www.sky.com/,hard,"Early termination fees apply within contract. Notice period required.","Exploits Default Effect: Phone-only cancellation creates friction that encourages staying with default subscription."
Virgin Media,utilities,£35.00/month,"Contact Virgin Media by telephone to request service disconnection.",https://www.virginmedia.com/,hard,"Early termination charges apply within minimum term. Equipment must be returned.","Exploits Default Effect: Phone-only cancellation despite online signup creates inertia favouring continued subscription."
BT Broadband,utilities,£29.99/month,"Contact BT customer service by telephone to request cancellation.",https://www.bt.com/,hard,"Notice period applies. Early termination fees if within contract term.","Exploits Default Effect: Phone-only cancellation creates friction that encourages maintaining default subscription."
EE Mobile,utilities,£30.00/month,"Request PAC code by texting PAC to 65075, or contact customer service to cancel.",https://www.ee.co.uk/,medium,"PAC code triggers 30-day notice automatically. Easier than calling.",
Three Mobile,utilities,£10.00/month,"Text PAC to 65075 for PAC code which triggers cancellation, or contact customer service.",https://www.three.co.uk/,medium,"PAC code method simpler than calling. Rolling contracts have no early fees.",
Vodafone Mobile,utilities,£15.00/month,"Request PAC code or contact Vodafone to cancel service. PAC code triggers automatic cancellation.",https://www.vodafone.co.uk/,medium,"PAC code available by text. Contract customers face early termination charges.",
O2 Mobile,utilities,£12.00/month,"Text PAC to 65075 to receive code, or contact O2 customer service to cancel.",https://www.o2.co.uk/,medium,"PAC code triggers cancellation notice. Contract terms apply for early termination fees.",
PureGym,fitness,£19.99/month,"Use the PureGym app or website to cancel membership through account settings.",https://www.puregym.com/,easy,"Standard notice period applies. Check specific terms of your membership contract.",
The Gym Group,fitness,£19.99/month,"Log into membership account and access cancellation options through account management.",https://www.thegymgroup.com/,easy,"Notice period required as per membership terms.",
David Lloyd,fitness,£89.00/month,"Contact your local club or access member portal to submit cancellation with required notice.",https://www.davidlloyd.co.uk/,medium,"Premium memberships often have longer notice periods. Check contract terms.",
Nuffield Health,fitness,£65.00/month,"Contact your local club to arrange cancellation according to membership terms.",https://www.nuffieldhealth.com/,medium,"Notice periods vary by membership type.",
HelloFresh,food,£44.99/week,"Log into HelloFresh account and select cancel subscription in account settings.",https://www.hellofresh.co.uk/,easy,"Must cancel before weekly ordering deadline. Can pause deliveries instead.",
Gousto,food,£34.99/week,"Access Gousto account settings and select cancel subscription option.",https://www.gousto.co.uk/,easy,"Cancel before weekly cutoff. No notice period required.",
Mindful Chef,food,£37.99/week,"Log into account and access subscription settings to cancel delivery service.",https://www.mindfulchef.com/,easy,"Cancel or pause before weekly deadline.",
Green Chef,food,£39.99/week,"Access account settings on Green Chef website and select cancel subscription.",https://www.greenchef.co.uk/,easy,"Must cancel before weekly cutoff for upcoming delivery.",
SimplyCook,food,£9.99/month,"Log into SimplyCook account and navigate to subscription settings to cancel.",https://www.simplycook.com/,easy,"Cancel anytime. Access continues until period ends.",
Headspace,fitness,£9.99/month,"Access subscription settings through Headspace app or website to cancel.",https://www.headspace.com/,easy,"Access continues until billing period ends.",
Calm,fitness,£29.99/year,"Cancel through original purchase platform - Apple App Store or Google Play Store subscriptions.",https://www.calm.com/,medium,"Must cancel via app store where originally purchased. Cannot cancel through Calm website for app purchases.","Exploits Default Effect: Platform-dependent cancellation paths create confusion and friction that discourage cancellation."
Peloton App,fitness,£12.99/month,"Access account settings through Peloton app or website to cancel subscription.",https://www.onepeloton.co.uk/,easy,"Access continues until end of billing period.",
Apple Fitness+,fitness,£9.99/month,"Cancel via Settings > [Your Name] > Subscriptions on iOS, or fitness.apple.com on web.",https://fitness.apple.com/,easy,"Cancel 24 hours before renewal. Access continues until period ends.",
Strava Premium,fitness,£6.99/month,"Access Strava account settings and navigate to subscription management to cancel.",https://www.strava.com/,easy,"Reverts to free version. Premium features locked after period ends.",
AA Breakdown Cover,other,£7.50/month,"Contact AA customer service to request cancellation of breakdown cover.",https://www.theaa.com/,medium,"Notice periods and fees vary by policy type. Check policy terms.",
RAC Breakdown Cover,other,£6.99/month,"Contact RAC to request cancellation according to policy terms.",https://www.rac.co.uk/,medium,"Notice period typically required. Check policy for early cancellation terms.",
Match.com,other,£29.99/month,"Log into Match account settings and select cancel subscription option.",https://uk.match.com/,easy,"Cancel 24 hours before renewal. Profile hidden but not deleted.",
eHarmony,other,£29.95/month,"Access billing settings through eHarmony account and select cancel subscription.",https://www.eharmony.co.uk/,easy,"No refunds on pre-paid periods. Profile remains inactive after cancellation.",
Tinder Plus,other,£14.99/month,"Cancel via app store subscriptions - Apple App Store or Google Play Store.",https://tinder.com/,medium,"Cannot cancel within Tinder app. Must use original purchase platform.","Exploits Default Effect: In-app signup but external app store cancellation creates asymmetric friction (roach motel pattern)."
Bumble Premium,other,£13.99/month,"Cancel through app store subscriptions where originally purchased.",https://bumble.com/,medium,"Reverts to free version after period ends.","Exploits Default Effect: Easy in-app subscription but external cancellation via app store settings (roach motel pattern)."
LinkedIn Premium,other,£29.99/month,"Access LinkedIn account settings and navigate to subscription management to cancel.",https://www.linkedin.com/,easy,"Reverts to free LinkedIn account. Premium features locked immediately.",
Amazon Music Unlimited,entertainment,£9.99/month,"Navigate to Amazon Music settings through Your Account and select cancel subscription.",https://www.amazon.co.uk/music/,easy,"Access continues until end of billing period.",
Deezer Premium,entertainment,£10.99/month,"Log into Deezer account and access subscription settings to cancel.",https://www.deezer.com/,easy,"Reverts to free tier with ads after period ends.",
TIDAL,entertainment,£10.99/month,"Access TIDAL account settings and select cancel subscription option.",https://tidal.com/,easy,"Access continues until end of billing period.",
Crunchyroll,entertainment,£6.50/month,"Log into Crunchyroll account settings and navigate to subscription options to cancel.",https://www.crunchyroll.com/,easy,"Reverts to free tier with ads. Premium features locked after period ends.",
Zoom Pro,software,£11.99/month,"Access Zoom account settings and navigate to billing to cancel subscription.",https://zoom.us/,easy,"Reverts to free Basic plan with meeting time limits.",
Slack Premium,software,£6.25/month,"Access workspace settings and navigate to billing to manage subscription.",https://slack.com/,easy,"Workspace reverts to free plan. Message history limited on free tier.",
Norton 360,software,£34.99/year,"Log into Norton account and access subscription management to cancel.",https://my.norton.com/,easy,"Protection continues until end of subscription period.",
McAfee Total Protection,software,£34.99/year,"Access McAfee account and navigate to subscription settings to cancel.",https://www.mcafee.com/,easy,"Auto-renewal disabled. Protection ends at subscription expiry.",
Mailchimp Premium,software,£23.00/month,"Log into Mailchimp account and access billing settings to downgrade or cancel.",https://mailchimp.com/,easy,"Can downgrade to free tier instead of cancelling completely.",
Todoist Premium,software,£4.00/month,"Access Todoist settings and navigate to subscription to cancel.",https://todoist.com/,easy,"Reverts to free version. Premium features locked after period ends.",
Evernote Premium,software,£6.99/month,"Log into Evernote account settings and access subscription management to cancel.",https://evernote.com/,easy,"Reverts to free Basic plan. Some features locked but notes remain accessible.",
NordVPN,software,£9.56/month,"Contact NordVPN support to request cancellation. 30-day money-back guarantee available.",https://nordvpn.com/,medium,"Must contact support for cancellation. Money-back guarantee within 30 days.",
ExpressVPN,software,£10.06/month,"Contact ExpressVPN support to cancel subscription. 30-day money-back guarantee.",https://www.expressvpn.com/,medium,"Support contact required for cancellation. Refund available within 30 days.",
